time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T09:19:50Z	11	Bib|Bibliothek|UB|Uni-Bib|Unibib|UniBib|Öffnungszeiten	Bibliothek	Uni-Bibliothek/Online-PDF // Öffnungszeiten	2	1.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:22:37Z	12	Rechen|App|Ilias|Uni Seite	Digitale Plattformen	Support Rechenzentrum // Uni Seite // Studienstart-App // Übersichtlich auf Ilias	4	1.75	0.5		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:32:31Z	13	Dozent:|Dozenten|Dozierende|Freundliche Profs|seminarbetreu|hilfsbereite Dozent*innen|Hilfsbereitschaft|Sympathie|Lehrpersonen|junge|kompetente|Sehr nette|von Lehrenden|Ansprechpartner|Verständnis|Begeisterung|Nette|Seminarleitung|verständnisvoll|beruhigen eher|Dozenten Seminare|DozentInnen|unterstützend|Bemühung|Dozenten & Seminare|nett|Nett|Wohlwollen|kompetent|Professoren	Dozent*innen	kompetente Dozenten // Sympathie der Professor*innen // Dozent*innen beruhigen eher // junge Dozierende // Begeisterung der Lehrenden // verständnisvoll // Sehr nette Professor*innen // gute Dozenten // Dozenten Ansprechpartner // sympathische Lehrpersonen // unterstützend und hilfsbereit // seminarbetreuung // allgemein: Wohlwollen // Seminarleitungen // Freundliche Profs // Nette Dozent:innen // DozentInnen kompetent // von Lehrenden // kompetent // Hilfsbereitschaft d. Dozenten // Verständnis d. Dozenten	21	2.1	0.7		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:33:27Z	14	Einteil|Lernplanung|Selbstbestimmt	Eigenverantwortung	Selbstbestimmte Zeiteinteilung // Individuelle zeitliche Einteil	2	2	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:35:47Z	15	Leitung|herzlich|Einführungs|Willkommen|Einfuührung|Herzliche|Begrüßung	Einführungsveranstaltungen	Einführungswoche // Willkommensveranstaltung // Herzliche Aufnahme // Begrüßung im Studium // Einführungsveranstaltungen_positive	6	2.17	0.75		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:36:14Z	16	E-Mail|Email	E-Mail Kontakt	E-Mail Kontakt // Email Listen // E-Mail Verkehr	3	1.67	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:37:49Z	17	Engagement|Dozenten sehr bemüht|Nahbarkeit|nette engag	Engagement von Dozent*innen	Nahbarkeit/Einsatz // nette engagierte Dozierende // Dozenten sehr bemüht // Engagement Dozierende	4	1.75	0.5		0	NA	NA		0	NA	NA	Engagement_ambivalent	2	10	0
2022-05-30T09:38:31Z	18	Erfolgserleb|Selbstwert	Erfolgserleben	Selbstwert	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:41:14Z	19	Erreichbarkeit|gute Ansprech|Kommunikation zu|Verfügbarkeit der|Augenhöhe|persönlicher Kontakt|Mentoring	Erreichbarkeit	Verfügbarkeit der Dozierenden // Kommunikation zu Dozierenden // gute Ansprechbarkeit // Mentoring // persönlicher Kontakt // Begegnung auf Augenhöhe // Augenhöhe	7	1.57	0.53		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:50:02Z	20	Fachschaft|(Altklausuren)|Einladung Fach|Viele Unterstütz|offen	Fachschaft	Fachschaft // Viele Unterstützungsmögli. // Einladung Fachschaftsitzungen // Fachschaft (Altklausuren) // Fachschaft_positive	13	1.85	0.69		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:50:56Z	21	Feedback	Feedback	Feedback der Dozierenden	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:53:01Z	22	Vorlesungsfol|Foliengestaltung|Folien/Mat|übersichtliche|Vollständig|Gute Fol	Folien	Gute Foliensätze // Folien/Materialien // Vorlesungsfolien // Vollständig	4	2	0.82		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:55:02Z	23	Forum|Frageforen|Frageforum|Frage Forum|Chat Foren|ILIAS	Frageforum	Frageforum_positive // ILIAS Forum // Forum für Fragen	6	1.5	0.84		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:57:37Z	24	Fragen schnell|Fragenbeantwortung|schnelle Antworten|Schnelle Fragen|Zahlreiche Angebote|Profs beantworten	Fragenbeantwortung	Fragen schnell beantwortet // Fragenbeantwortung // schnelle Antworten // Schnelle Fragenbeantwortung // Zahlreiche Angebote Dozent:inn // Profs beantworten Fragen	6	2.33	0.82		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:00:03Z	25	Möglichkeit Fragen|auch weiterführend|offen bei|positives Fragenklima|Viele Fragemöglichkeiten|Dozenten Fragen stellen|ist ok	Fragenstellen	Möglichkeit Fragen stellen // Dozenten Fragen stellen // auch weiterführend // positives Fragenklima // Viele Fragemöglichkeiten // offen bei Nachfragen // Fragenstellen ist ok	7	2	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:00:46Z	26	ausführliche|Fragerunden|Fragestunden	Fragestunden	Fragestunden_positive // ausführliche Fragestunden	3	1.33	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:02:11Z	27	Freizeit|Hobbies|Aktivitäten außerhalb|Zeit während|Balance|Beginn des|Reisen im	Freizeit	Freizeit_positive // Aktivitäten außerhalb // Beginn des Semesters // Zeit während Semester // Reisen im Semester	7	2	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:02:53Z	28	freundlich	Freundlichkeit	freundlich	3	2.67	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:03:52Z	29	Altklausuren|Altklausurenhilfe|Gedächtnisklausuren	Gedächtnisklausuren	Gedächtnisklausuren // Gedächtnisklausuren_positive // Gedächtnisklausuren Fachschaft	5	2.6	0.55		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:05:04Z	30	gegenseitige|Gegenseitige|Ressourcen	gegenseitige Unterstützung	gegenseitige Unterstützung_positive // Ressourcen von Studierenden	3	2.33	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:05:50Z	31	Gruppenarbeit|Gruppenmot	Gruppenarbeit	Gruppenarbeit_positive // Gruppenmotivation	4	1.75	0.96		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:06:47Z	32	Gute Klausur|Gute Noten|gute Noten|Leistungsziele|kein rausprüfen	gute Noten	gute Noten_positive // Leistungsziele noch erreicht // Gute Klausurbewertung // kein rausprüfen	5	2	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:10:23Z	33	hilfreiche Info|hilfsbereite Doz|Hilfsbereitschaft|Lernhilfen|Hilfe bei|Hilfsangebote bei|Hilfsangebote der Uni|hilfsbereit|persönliche Hilfe|schnelle Hilfe|Gute Begleitung	Hilfsbereitschaft	Hilfsbereitschaft_positive // Hilfsangebote der Universität // Hilfsangebote bei Fragen // hilfsbereite Dozenten, Tutoren // schnelle Hilfe // Hilfe bei Praktika // Hilfe bei Prüfungsangelegenhei // hilfsbereit // hilfreiche Informationen // Gute Begleitung	16	1.88	0.72		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:10:36Z	34	hilfreiche Info|hilfsbereite Doz|Hilfsbereitschaft|Lernhilfen|Hilfe bei|Hilfsangebote bei|Hilfsangebote der Uni|hilfsbereit|persönliche Hilfe|schnelle Hilfe|Gute Begleitung	Dozent*innen	hilfsbereite Dozent*innen	1	2	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:12:24Z	35	Flexibilität|viel Freiraum|Individuali|Mitschrift|Konzentrationsfähigkeit|Zeit|investierte Z	Individualisierungsoptionen	Individualisierungsoptionen_positive // Flexibilität // Konzentrationsfähigkeit // Mitschrift // viel Freiraum // investierte Zeit // Individualisierungsoptionen // Flexibilität/Eigenorganisation	11	2.09	0.83		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:15:02Z	36	institusbib|Institut|Lehrräume|PsychoBib|Ausstattung|am Institut	Institut	Institut_positive // Ausstattung // institusbibliothek	5	2	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:16:27Z	37	Schwierigkeit der|Durchfall	Klausuren	Schwierigkeit der Klausuren // geringe Durchfallquote Klausur	2	2	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:17:25Z	38	kleinerer Stu|Eher kleiner	kleiner Studiengang	Eher kleiner Studiengang // kleinerer Studiengang	2	2	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:23:52Z	39	Komilitonen|Kommiliton*innen|Kommilitonen|Hilfe von Kom|motivierte Mitstudenten|Nette Kom|Nette Mitstu|Freundliche Komi|Komiliton:innen|Nette Mitstu|Von Komili|freundliche Komilitonen|unterstützender Jahrgang|durch Peers|Unterstützung von Komilitonen	Kommiliton*innen	freundliche Kommilitonen // Nette Mitstudierende // Freundliche Komilliton:innen // motivierte Mitstudenten // Hilfe von Kommilitonen // Kontakte zu Kommilitonen // Komiliton:innen/ Freund:innen // Unterstützung von Komilitonen // unterstützender Jahrgang // Unterstützung durch Peers	11	2.36	0.5		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:24:23Z	40	Gleichgesinnte	Kommiliton*innen	Gleichgesinnte Kommiliton*inne	1	1	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:27:33Z	41	Informationsweitergabe|viele Infor|Kommunikation	Kommunikation	Kommunikation_positive // Informationsweitergabe // viele Informationen	3	2	1		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:27:57Z	42	Kompetenz	Kompetenzerleben	Kompetenzerleben // erforderliche Kompetenzen	2	2.5	0.71		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:31:02Z	43	Lehrstil|Lehrinhaltsge|Verknüpfung|Freundlich/humorvoll|thematische|Vertiefung|Verständlich|Qualität	Lehrstil	Lehrstil_positive // Verknüpfung von Inhalten // Freundlich/humorvoll // Verständlich // Vertiefung d. Inhalte // Lehrinhaltsgestaltung // thematische Vertiefung // Vertiefung	8	1.88	0.83		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T10:34:55Z	44	Leistungsbereitschaft|Disziplin|Ehrgeiz|Leistungssteigerung|Antrieb	Leistungsbereitschaft	Leistungsbereitschaft_positive // Leistungssteigerung	3	2.33	1.15		0	NA	NA		0	NA	NA		0	NA	NA
